,category,project,company,email,phone,remain_dates,achievement_rate,total_funded,total_supporters
0,여행·레저,아늑(ANUK) | 우리 모두를 위한 아늑한 면텐트가 왔어요.,주식회사 얀,anukstory@gamil.com,024697890,3일 남음,17783%,"533,518,000",498
1,여행·레저,[감성캠핑 200% 업그레이드 자신감] 에스티피크니커 웜 시트커버,에스티피크니커,hsua4542@naver.com,01054764437,오늘 자정 마감,4432%,"22,160,300",365
2,여행·레저,<2만 원대> 바지맞아? 캠핑부터 운동 데일리룩까지 다 되는 #활력팬츠,이츠미,eesmee@naver.com,01032938151,10일 남음,1973%,"19,730,400",480
3,여행·레저,"(등산,트레킹) 하나, 둘, 3초에 피고 접고, 백팩에 들어가는 등산스틱",위즈,gndbead1@naver.com,07040774455,5일 남음,2425%,"24,251,400",210
4,여행·레저,미니멀 감성캠핑 레드오크원목 양념케이스,트리아트패밀리,youngim022@naver.com,01022928016,3일 남음,978%,"4,893,700",100
5,여행·레저,독특한 디자인과 실용성을 갖춘 캠핑테이블 디토 / 파코,비엠베(BMBe),lubihana12@naver.com,0313330192,3일 남음,38%,"1,524,500",21
6,여행·레저,"[캠핑혁명템] 한번 더 혁신! 의자 하나로 쓰레기통, 화장실까지 해결",setoworks,help@setoworks.com,07088498904,3일 남음,462%,"4,626,100",64
7,여행·레저,"화로 유목민들 주목! 캠핑의 고민을 해결할 마지막 화로, 캠프에디션!",버닝클럽,tjdtjrdldia@naver.com,01082451318,3일 남음,769%,"7,699,000",44
8,여행·레저,"젊은 날의 여행을 기록하세요. 여행전문다이어리, 청춘여행기록장!",디지털유목민,ini01@naver.com,01082115009,19일 남음,13%,"137,000",15
9,여행·레저,"[평점5.0점] 예쁜데, 독도까지 알리는 여권케이스? <한반도여권케이스>",헬로코컴퍼니,goldenpeaceone@gmail.com,0262780017,31일 남음,301%,"1,508,000",34
10,여행·레저,캠핑테이블 셋업 폴딩테이블로 3초면 충분,수니쳐,sooniture@gmail.com,01067882523,17일 남음,121%,"1,216,000",6
